timestamp,lr,emb,layer,head,batch,ctx,final_loss,time_seconds,steps_used
2026-02-26 14:49:34,0.005,16,1,4,4,16,,1.206354417,79
2026-02-26 14:49:36,0.005,16,1,4,8,16,,1.930558702,54
2026-02-26 14:49:45,0.005,16,1,4,16,16,,9.155072566,151
2026-02-26 14:49:46,0.005,16,1,8,4,16,,.880942113,48
2026-02-26 14:49:49,0.005,16,1,8,8,16,,2.365594123,77
2026-02-26 14:49:58,0.005,16,1,8,16,16,,8.805900515,147
2026-02-26 14:49:59,0.005,16,2,4,4,16,,1.320151121,94
2026-02-26 14:50:02,0.005,16,2,4,8,16,,2.888617847,114
2026-02-26 14:50:09,0.005,16,2,4,16,16,,7.275946664,111
2026-02-26 14:50:10,0.005,16,2,8,4,16,,1.242736259,89
2026-02-26 14:50:12,0.005,16,2,8,8,16,,1.826110328,51
2026-02-26 14:50:18,0.005,16,2,8,16,16,,6.091517725,92
2026-02-26 14:50:21,0.005,32,1,4,4,16,,2.840808151,81
2026-02-26 14:50:27,0.005,32,1,4,8,16,,6.154281765,70
2026-02-26 14:50:38,0.005,32,1,4,16,16,,10.609827183,49
2026-02-26 14:50:41,0.005,32,1,8,4,16,,3.091637563,93
2026-02-26 14:50:49,0.005,32,1,8,8,16,,7.919525910,108
2026-02-26 14:51:07,0.005,32,1,8,16,16,,17.955548190,116
2026-02-26 14:51:09,0.005,32,2,4,4,16,,2.225105483,46
2026-02-26 14:51:14,0.005,32,2,4,8,16,,4.621010289,42
2026-02-26 14:51:23,0.005,32,2,4,16,16,,9.261249654,36
2026-02-26 14:51:26,0.005,32,2,8,4,16,,2.616258624,67
2026-02-26 14:51:33,0.005,32,2,8,8,16,,6.770542549,90
2026-02-26 14:51:50,0.005,32,2,8,16,16,,17.543873505,113
2026-02-26 14:51:57,0.005,48,1,4,4,16,,7.238292093,93
2026-02-26 14:52:07,0.005,48,1,4,8,16,,9.421944117,41
2026-02-26 14:52:24,0.005,48,1,4,16,16,,17.004346524,28
2026-02-26 14:52:31,0.005,48,1,8,4,16,,7.414533150,99
2026-02-26 14:52:41,0.005,48,1,8,8,16,,9.942464809,44
2026-02-26 14:53:06,0.005,48,1,8,16,16,,24.547185583,63
2026-02-26 14:53:12,0.005,48,2,4,4,16,,6.290576743,75
2026-02-26 14:53:22,0.005,48,2,4,8,16,,9.908434839,44
2026-02-26 14:53:45,0.005,48,2,4,16,16,,22.675941067,54
